aggregate_loss,segment_loss,obj_loss,noobj_loss,class_loss,accuracy,f1,precision,recall
5.261861767087664,0.0074151700812921835,0.3838516260896411,28.65961986874777,0.6815906389365121,0.5529085900936328,0.5296870127514212,0.547614474657505,0.5414906341130534
4.806481838226318,0.004864793883392677,0.36379308702926794,26.99247135434831,0.6137482088709634,0.6885780437428483,0.6764952521753712,0.691480415427832,0.6871369201637048
4.457391602652414,0.003727849855619882,0.33081985028490185,25.459314913976755,0.5669933122301859,0.7584383176662226,0.7490542012663741,0.7570178893338836,0.7574964795418222
4.296712523414975,0.0034985722736492458,0.3176277613356,24.675186058831596,0.5455664727422924,0.7773073359543898,0.7688568793608451,0.781380307265307,0.781706031084865
4.096674442291259,0.0029220352746686705,0.29831071147724747,24.117648684789263,0.5155741995762266,0.8158364664754045,0.8080673833260772,0.8156135776992225,0.8170661982873739
3.956346625373476,0.002447141903556055,0.27318043368203293,23.668211603921552,0.49750395947032494,0.8341659000311926,0.8259348399310946,0.83200192358316,0.8354715657360007
3.878315550940377,0.00205390098331947,0.2573149133517984,23.418548969995413,0.4879607118311382,0.8424879363274217,0.8358029734646262,0.8436786548158849,0.8449554898488933
3.7830696162723347,0.0018493541745498532,0.2498409207910299,23.14139280621967,0.4733824358573036,0.8568426665571923,0.850792408883468,0.8570954031227024,0.8569533316731034
3.696380728767032,0.0018143345262773985,0.23666474666623843,23.014440650031677,0.4599844375773082,0.8651370217422566,0.8549110565670771,0.8592959006220132,0.8622879314278006
3.6335080691746304,0.0016620703725724489,0.22645492912344037,22.869183903648743,0.4510566975389208,0.8841961661792115,0.87748228486048,0.8828296475130711,0.8831531037216667
3.5959991273425866,0.0016327774325858742,0.22150024586904138,22.785433738950694,0.4454126362762753,0.887021974370302,0.8800537480536595,0.8858762460444134,0.8867716410832951
3.495361135119484,0.0016074820975070852,0.21795764361279055,22.63937615591382,0.42747942488344903,0.9089890992623808,0.9052273453078448,0.909374967485644,0.9091477063909985
3.5010794855299463,0.0015650477527367273,0.21139585428191196,22.565950022803417,0.4307121561160164,0.9006871414709042,0.8945922733061171,0.8991688354810435,0.9000074375522666
3.4388469798224306,0.001448932213529516,0.19933809923185478,22.49781317181057,0.4214746973344257,0.8984287973824143,0.8954799479502109,0.9017669771185155,0.8993364615710926
3.4033147096633902,0.0014937371608596997,0.20498238563803695,22.45311632610503,0.41364154408848464,0.9215276165644861,0.9170462707659784,0.9194101827488932,0.9227332130765036
3.3180352052052817,0.0014124362741500909,0.19113250889830172,22.44613075256347,0.39950678438421283,0.921927234041449,0.9192933454042209,0.9222070971439345,0.9225929891040661
3.3077609652564632,0.001428603494700621,0.19679952678935864,22.435498774997775,0.3964086709514497,0.9377808482940869,0.9343478488622069,0.9378079847257005,0.9373788884465871
3.2737579572768434,0.0014101072165575471,0.19525585942975587,22.403319396669904,0.3902571007372841,0.9442177727193679,0.9416696870154861,0.9441012361455654,0.9446958191733735
3.241953611373902,0.0013571197204588054,0.18362803609361725,22.407437914893745,0.3862335882962696,0.9394980144275172,0.9379433438115249,0.9405069332823581,0.9402277319588459
3.228361731483823,0.00131328105774065,0.1819974675419785,22.412409888373478,0.38383545667406105,0.9426180702389987,0.9407102057517163,0.942207901138748,0.9440927486436824
3.601552202588036,0.0015998100067326233,0.22436857494037774,22.371724348219608,0.45011964676872124,0.8804710777579166,0.875420150588616,0.8815360480698219,0.8783352272124701
3.608222654887608,0.0015162223090079525,0.2179206261588704,22.184816799466578,0.4546960031702405,0.8741069217868637,0.8654934705475791,0.8712483755052574,0.8736104321858149
3.618262966473899,0.001507001683450422,0.2130955006365502,22.053983052571613,0.4589866534585045,0.8670123652333989,0.8595770582759481,0.8656317757751621,0.8667471901156194
3.531197173254831,0.0015634948626578244,0.205352830744925,21.870070510440403,0.44490465687380903,0.8816196804444085,0.875348467649837,0.8805031450815427,0.8806837367880962
3.483792679650443,0.0012980446675404285,0.19130522843509445,21.873118514106388,0.4384682412658419,0.8805936509285921,0.87676759098187,0.881451817326927,0.8814765728137699
3.4315024727866774,0.001451348486524593,0.19285476130862084,21.728945951613166,0.42898871974339553,0.8996379204416364,0.895689023369387,0.9015621939276129,0.9003821785949937
3.383247540110634,0.0013495968180775105,0.18159202271924607,21.692110826098727,0.42206038250809624,0.9057714707346423,0.9015701962650766,0.9056566398822239,0.9072229655525178
3.52122399920509,0.0013708234898605577,0.19859735114825147,21.600591962299653,0.44714856526208296,0.876160324965457,0.8708082134865918,0.8759216914503811,0.8767546803420881
3.3359006870360592,0.0012351191184106502,0.17826313620788,21.54799125308082,0.41481245983214604,0.9137848240456826,0.910386890214732,0.9126610530382924,0.916597262932428
3.322736501693726,0.0011678718477173425,0.1750370501799302,21.519153118133552,0.41318047567019384,0.9126227142497895,0.9087048399850134,0.9113550426999931,0.9148254506282328
3.298597863742283,0.0012100869658059393,0.16974019596264478,21.4959124686226,0.409602305955357,0.915471759770452,0.9126736370987119,0.9165270767889553,0.9162640106321375
3.245875279108683,0.0011232423042649372,0.16381707456746392,21.47863388061523,0.4005020530450913,0.9272617665109123,0.9242257351970251,0.9261952972667425,0.9300307099869544
3.308087445440746,0.0011619765993802704,0.16461833328422573,21.427058817848327,0.4132612458770237,0.9127513506505949,0.9075227205728679,0.9110409786667486,0.9144732702810267
3.215350344067528,0.0011076503294697474,0.15682959770192467,21.40920950117565,0.3965043853672724,0.9285091927774488,0.9257229019795825,0.9294039513141189,0.9309360479515768
