aggregate_loss,mean_ciou,conf_loss,class_loss,accuracy,f1,precision,recall
1.3855982820192971,0.8531195095607211,0.8917809483550844,0.6938765699428225,0.530646992776275,0.49682484446139263,0.5284229782765004,0.5221210962120032
1.2314752964746383,0.8740638002516732,0.7738585500490097,0.6633636724381219,0.5738586582005807,0.5503003382196321,0.5706427937522687,0.5656884460840956
1.1384441455205283,0.8799704767408822,0.6966810365990985,0.643469540136201,0.6157747196519001,0.5924935167623826,0.6159412948633023,0.602200961241601
1.0397784553823013,0.8880512844475493,0.6295375412418729,0.6027424650059806,0.6669341641274839,0.6497807130572951,0.6723895147902124,0.6651946796071843
1.032184118316287,0.8872681837233286,0.6210398588861739,0.5968270256878838,0.6810895860810282,0.6662080083331157,0.6819436568822943,0.6758946333216144
0.9745594816548482,0.8932698075733488,0.5973201159920011,0.5410203744494725,0.7279180290934189,0.7138043230569743,0.7302062672649678,0.7256675079695162
0.9361438765412287,0.8975325884327056,0.5733009274043731,0.5207530113439712,0.7391073821935518,0.7310521046369624,0.7470788383397483,0.7415110514755628
0.900331035965965,0.8970662866319926,0.5550707089049476,0.484655117941281,0.7817689008329338,0.7716416312222945,0.7853839623316021,0.7785537866355278
0.8855710526307425,0.9009273903710503,0.5597060173749925,0.45358669391227147,0.7908207877005493,0.7803595740145971,0.7912890893598172,0.7933301125397381
0.8433013253268741,0.9008089817232555,0.5399872622792682,0.41068846395327935,0.8151421200091399,0.8075898265221526,0.819707438336294,0.8158147491231613
0.8595483331453229,0.9068725255746689,0.5534374230201283,0.4259686725480216,0.8111280990718823,0.8015281867891206,0.8119799597554651,0.8114260987770611
0.8222026995250158,0.905999587168769,0.5294203118435922,0.3975656726175832,0.8265067435955551,0.8207125831315454,0.8300482422318841,0.8318863075997786
0.7735998389266785,0.9102787086887965,0.5083014719069949,0.3511557673059759,0.854011774131483,0.8489971522010131,0.8567252636798062,0.8554139618908658
0.777630790358498,0.911436345369097,0.5105601040616866,0.3570156932941505,0.8413253995309657,0.8359258643005398,0.8447516991706014,0.8438256503406871
0.7435235352743238,0.9104965906294565,0.4875034383601612,0.33303492108271215,0.8584343303956431,0.8535538410042125,0.8608011744314081,0.8621061137864858
0.7449093688101995,0.9124293398289455,0.48595446229927114,0.34277004659885446,0.8526200886135291,0.8471573001593395,0.8576617605955443,0.8543071936310629
0.7336040777819497,0.9110984215660701,0.48756903019689396,0.314268479641113,0.8600047588999007,0.8544425554016216,0.8611375413493668,0.8638901550506946
0.7437057353201366,0.90800960007168,0.485511651824391,0.3324089266714595,0.8609699748763584,0.8564034260910306,0.8663481381174342,0.8646318876189815
0.6942047604492735,0.9141538701360188,0.45743914362457055,0.3018404204575789,0.8735554831415953,0.8697031695142641,0.8741425542122,0.8757029224795574
0.7042441183612457,0.9141186650783298,0.4566686069445004,0.331323409659995,0.8640436825579721,0.8587359845473655,0.8683931639430578,0.8691523398203989
